mass,CX-(pb),CX+(pb),CX+-_PDF+,CX+-_PDF-,CX+-_QCD+,CX+-_QCD-,CX0(pb),CX0_PDF+,CX0_PDF-,CX0_QCD+,CX0_QCD-,WH,WW,WZ,ZH,CX0_up,CX0_down,CX+-_up,CX+-_down
800.0,0.511085,1.0768,0.026,-0.026,0.062,-0.062,0.855309,0.027,-0.026,0.062,-0.062,0.552862,0.413867,0.428731,0.567236,0.9131483818181403,0.797805767444133,1.694640009507643,1.4811299904923567
900.0,0.409766,0.901251,0.033,-0.031,0.064,-0.064,0.687575,0.033,-0.032,0.065,-0.065,0.522327,0.439352,0.451309,0.534051,0.7376972839527616,0.6377602031129243,1.4054193278457077,1.2177871898040147
1000.0,0.299486,0.687047,0.039,-0.037,0.066,-0.066,0.509804,0.04,-0.037,0.067,-0.067,0.507973,0.450586,0.460359,0.517614,0.5495850485160337,0.47078483940317367,1.0621621923482132,0.9118882336964638
1100.0,0.214767,0.512156,0.044,-0.041,0.068,-0.068,0.37177,0.045,-0.042,0.068,-0.068,0.49948,0.45685,0.464974,0.507523,0.40208464647414016,0.3420562958323066,0.7857992756499954,0.6692023842098653
1200.0,0.153962,0.381432,0.049,-0.045,0.07,-0.07,0.271104,0.05,-0.046,0.069,-0.069,0.493896,0.460749,0.467605,0.500699,0.294205178921929,0.24862197442138204,0.5811412164613109,0.4908403397518306
1300.0,0.110992,0.285322,0.054,-0.049,0.072,-0.072,0.198844,0.054,-0.05,0.073,-0.073,0.489978,0.463352,0.469214,0.495803,0.21689942937983805,0.18124995746923,0.43198226,0.3617982585719116
1400.0,0.0806679,0.214856,0.058,-0.053,0.074,-0.074,0.146961,0.059,-0.053,0.077,-0.077,0.487101,0.46518,0.470248,0.492143,0.16121697451080108,0.1332234869287597,0.32330943363110914,0.2686247308533707
1500.0,0.0591312,0.162942,0.062,-0.056,0.077,-0.077,0.109482,0.063,-0.056,0.079,-0.079,0.484915,0.466514,0.470938,0.489321,0.12054455883546115,0.09888032026732801,0.2440270200476473,0.20092954543593644
1600.0,0.0437098,0.124438,0.066,-0.059,0.081,-0.081,0.0822156,0.067,-0.06,0.081,-0.081,0.48321,0.467518,0.471413,0.487091,0.09085802002920061,0.07392812070772899,0.18571663016690976,0.15129774596093284
1700.0,0.0325698,0.0956578,0.07,-0.062,0.083,-0.083,0.0622015,0.07,-0.062,0.085,-0.085,0.481851,0.468293,0.471749,0.485295,0.06905072970503116,0.055657322782021776,0.1421501888343134,0.11494319588566013
1800.0,0.0244536,0.0739789,0.074,-0.065,0.085,-0.085,0.0473673,0.074,-0.065,0.089,-0.089,0.480747,0.468904,0.471991,0.483825,0.052849847572174646,0.04214700232329263,0.10952571610586538,0.08789976254509008
1900.0,0.0184817,0.0575243,0.077,-0.068,0.089,-0.089,0.036303,0.077,-0.068,0.092,-0.092,0.479838,0.469395,0.472168,0.482604,0.04065830103379055,0.03214983525438829,0.08495084386105202,0.06749298869426218
2000.0,0.0140562,0.0449418,0.08,-0.071,0.093,-0.093,0.0279823,0.08,-0.07,0.095,-0.095,0.479079,0.469796,0.472301,0.481578,0.03145762956314912,0.024680270033060992,0.06623554222759327,0.05209498187639928
2100.0,0.0107528,0.035265,0.084,-0.073,0.098,-0.098,0.02168,0.083,-0.072,0.1,-0.1,0.478438,0.470127,0.472401,0.480707,0.02449748261992865,0.01900851724287803,0.051957484140975375,0.04039439471386138
