mass,CX_Zp_hat_DY(pb),CX_Zp_hat_DY_up(pb),CX_Zp_hat_DY_down(pb),CX_Wp_hat_DY(pb),CX_Wp_hat_DY_up(pb),CX_Wp_hat_DY_down(pb),CX_Zp_hat_VBF(pb),CX_Zp_hat_VBF_up(pb),CX_Zp_hat_VBF_down(pb),CX_Wp_hat_VBF(pb),CX_Wp_hat_VBF_up(pb),CX_Wp_hat_VBF_down(pb),CX_Vp_hat_DY(pb),CX_Vp_hat_DY_up(pb),CX_Vp_hat_DY_down(pb),CX_Vp_hat_VBF(pb),CX_Vp_hat_VBF_up(pb),CX_Vp_hat_VBF_down(pb)
800,40.27625858,42.99989868,37.56844764,74.77305494,79.8001181,69.74599178,0.003352141,0.003761102,0.003013575,0.005768206,0.006483464,0.005179849,115.0493135,126.0200966,104.1105497,0.009120347,0.010706868,0.007811172
900,32.37771202,34.73795618,30.03194734,61.73541923,66.18079812,57.34525387,0.001862329,0.002108156,0.00166306,0.003259792,0.003696604,0.002904474,94.11313125,103.7563982,84.55891005,0.00512212,0.006085569,0.004339759
1000,24.00652598,25.87980429,22.16912476,46.45555957,50.01691682,42.94055867,0.001094491,0.001249909,0.000969719,0.001948424,0.002228998,0.001724356,70.46208555,78.16987766,62.87864962,0.003042915,0.003658307,0.002550179
1100,17.50654401,18.93405213,16.1073341,34.2305982,37.00306534,31.51255075,0.000670194,0.000772064,0.000589101,0.001207553,0.001391101,0.001062646,51.73714221,57.68331337,45.90826943,0.001877747,0.002281389,0.001557752
1200,12.76621058,13.85403855,11.70753836,25.21155183,27.3657753,23.11353259,0.000422648,0.000491117,0.000368972,0.000766012,0.000888574,0.000669495,37.97776241,42.56065719,33.51606221,0.00118866,0.00145931,0.00097601
1300,9.363507645,10.2137327,8.535009165,18.66231402,20.34192228,17.03697753,0.000274413,0.000320788,0.00023819,0.000505144,0.000590009,0.00043897,28.02582166,31.60885473,24.54632815,0.000779557,0.000965322,0.000634582
1400,6.920351869,7.591661671,6.273456269,13.91613675,15.22454966,12.6494625,0.000181978,0.00021437,0.000157047,0.00033724,0.000396932,0.000291038,20.83648862,23.65134323,18.11790571,0.000519219,0.000649555,0.000418621
1500,5.155476373,5.676409136,4.656246277,10.45736409,11.49116326,9.461715389,0.000123799,0.000146825,0.000106095,0.000230296,0.00027267,0.000197824,15.61284047,17.81989095,13.49259604,0.000354094,0.000446737,0.000282984
1600,3.871509319,4.278478431,3.481254267,7.91803228,8.745343517,7.124568008,8.37E-05,9.98E-05,7.14E-05,0.00015939,0.000189674,0.000136279,11.7895416,13.53690122,10.11380849,0.00024306,0.000308888,0.000192873
1700,2.929051019,3.251579306,2.620887567,6.038201368,6.693812133,5.412642541,5.87E-05,7.04E-05,4.98E-05,0.000112025,0.000134094,9.53E-05,8.967252387,10.35396193,7.643192706,0.000170696,0.000218615,0.000134485
1800,2.230512742,2.488684354,1.984690403,4.635158548,5.157534952,4.139174924,4.17E-05,5.05E-05,3.52E-05,7.96E-05,9.59E-05,6.73E-05,6.86567129,7.974811934,5.81103624,0.000121292,0.000156887,9.46171E-05
1900,1.709497989,1.914587881,1.513926637,3.579101014,4.000311178,3.178225723,3.00E-05,3.64E-05,2.52E-05,5.74E-05,6.95E-05,4.83E-05,5.288599003,6.177382642,4.441877951,8.74135E-05,0.000113684,6.77573E-05
2000,1.317678582,1.481330867,1.162186926,2.778199111,3.119012925,2.453137943,2.16E-05,2.63E-05,1.80E-05,4.16E-05,5.08E-05,3.49E-05,4.095877693,4.810887027,3.415234503,6.31949E-05,8.29017E-05,4.86271E-05
2100,1.02090506,1.153579519,0.895105694,2.166965169,2.446663213,1.902160607,1.55E-05,1.91E-05,1.29E-05,3.05E-05,3.74E-05,2.55E-05,3.187870229,3.771772849,2.634639254,4.6038E-05,6.08831E-05,3.5132E-05
2200,0.794709605,0.90257076,0.692164348,1.697490111,1.927654998,1.478836516,1.15E-05,1.42E-05,9.54E-06,2.25E-05,2.77E-05,1.86E-05,2.492199716,2.970325487,2.037812175,3.39874E-05,4.52113E-05,2.5768E-05
2300,0.62126876,0.709175546,0.537849692,1.334733065,1.523403143,1.155834017,8.41E-06,1.05E-05,6.93E-06,1.67E-05,2.06E-05,1.38E-05,1.956001825,2.34721197,1.584907501,2.50839E-05,3.36163E-05,1.88934E-05
2400,0.48755751,0.559057449,0.41953319,1.05308994,1.208023057,0.905819161,6.26E-06,7.83E-06,5.14E-06,1.25E-05,1.56E-05,1.03E-05,1.540647449,1.860683352,1.236304254,1.87547E-05,2.53195E-05,1.40201E-05
2500,0.383917281,0.442439171,0.328118368,0.833973482,0.962656969,0.712290492,4.68E-06,5.88E-06,3.82E-06,9.33E-06,1.17E-05,7.64E-06,1.217890763,1.482049557,0.967073264,1.40068E-05,1.90385E-05,1.03916E-05
2600,0.303272845,0.351979068,0.256841386,0.661159872,0.768553078,0.559203961,3.52E-06,4.44E-06,2.85E-06,7.07E-06,8.88E-06,5.77E-06,0.964432717,1.18473119,0.754859912,1.05835E-05,1.44829E-05,7.79945E-06
2700,0.240256444,0.280477698,0.201928199,0.525841449,0.615550987,0.440661627,2.64E-06,3.36E-06,2.14E-06,5.36E-06,6.77E-06,4.35E-06,0.766097893,0.949211316,0.591922206,8.004E-06,1.10265E-05,5.85891E-06
2800,0.190828723,0.22434783,0.158886708,0.418924247,0.493830902,0.347786025,2.00E-06,2.55E-06,1.61E-06,4.06E-06,5.16E-06,3.29E-06,0.60975297,0.762587038,0.464363004,6.05971E-06,8.3995E-06,4.40566E-06
2900,0.152122388,0.179888787,0.125589784,0.334351587,0.396889636,0.274772236,1.50E-06,1.93E-06,1.20E-06,3.12E-06,3.98E-06,2.52E-06,0.486473975,0.613611322,0.365173077,4.62348E-06,6.45791E-06,3.33523E-06
3000,0.12114536,0.144162341,0.099161566,0.267247799,0.319442601,0.217518879,1.14E-06,1.48E-06,9.12E-07,2.39E-06,3.06E-06,1.92E-06,0.388393159,0.494220139,0.287444554,3.53308E-06,4.96984E-06,2.5312E-06
3100,0.096808452,0.116276822,0.078134205,0.21387476,0.25848239,0.171268567,8.81E-07,1.14E-06,6.98E-07,1.84E-06,2.37E-06,1.47E-06,0.310683212,0.400697206,0.22453092,2.72177E-06,3.8517E-06,1.93646E-06
3200,0.07749178,0.093985883,0.061651201,0.17133504,0.209274437,0.134930879,6.74E-07,8.80E-07,5.33E-07,1.42E-06,1.83E-06,1.13E-06,0.24882682,0.325252712,0.175462562,2.08961E-06,2.97627E-06,1.47783E-06
3300,0.062119813,0.075990765,0.04875712,0.137376526,0.169653871,0.106351018,5.18E-07,6.81E-07,4.07E-07,1.10E-06,1.43E-06,8.68E-07,0.199496339,0.264160239,0.137274585,1.61414E-06,2.31623E-06,1.13243E-06
3400,0.049860947,0.061562026,0.038576499,0.110213529,0.137608853,0.083839314,3.97E-07,5.24E-07,3.12E-07,8.48E-07,1.11E-06,6.68E-07,0.160074476,0.2147949,0.107350648,1.245E-06,1.7979E-06,8.68192E-07
3500,0.04006572,0.049911296,0.030565412,0.088457609,0.111655775,0.066092524,3.06E-07,4.06E-07,2.39E-07,6.59E-07,8.66E-07,5.17E-07,0.12852333,0.174713477,0.083973725,9.64994E-07,1.40245E-06,6.68151E-07
3600,0.032224341,0.040599012,0.024116604,0.071014354,0.091466981,0.051179471,2.37E-07,3.16E-07,1.84E-07,5.11E-07,6.74E-07,4.00E-07,0.103238695,0.14328799,0.064429046,7.48338E-07,1.09341E-06,5.14966E-07
3700,0.025937628,0.033071419,0.019020252,0.057018913,0.074880037,0.039620575,1.84E-07,2.46E-07,1.42E-07,4.00E-07,5.31E-07,3.12E-07,0.082956541,0.11753758,0.049338051,5.84045E-07,8.59978E-07,3.98593E-07
3800,0.020890929,0.026936534,0.015013705,0.045767908,0.061332901,0.03058365,1.43E-07,1.92E-07,1.10E-07,3.13E-07,4.18E-07,2.43E-07,0.066658837,0.096425125,0.037663009,4.56031E-07,6.75656E-07,3.09302E-07
3900,0.01683674,0.021952034,0.011852809,0.036741328,0.050182077,0.023588959,1.10E-07,1.50E-07,8.45E-08,2.43E-07,3.26E-07,1.88E-07,0.053578068,0.079056115,0.028690551,3.53768E-07,5.27664E-07,2.38435E-07
4000,0.013832463,0.018241114,0.009538937,0.030071211,0.041879398,0.018486182,8.56E-08,1.17E-07,6.53E-08,1.90E-07,2.57E-07,1.46E-07,0.043903674,0.066107563,0.022182889,2.75973E-07,4.14352E-07,1.84639E-07
4100,0.011147219,0.014939846,0.007442097,0.024100611,0.034488646,0.013884425,6.63E-08,9.08E-08,5.03E-08,1.49E-07,2.02E-07,1.14E-07,0.03524783,0.054603415,0.016260861,2.15356E-07,3.25329E-07,1.43165E-07
4200,0.008985001,0.012240225,0.005797034,0.019304622,0.028365547,0.01037094,5.14E-08,7.07E-08,3.88E-08,1.17E-07,1.60E-07,8.93E-08,0.028289623,0.045063294,0.011792867,1.68592E-07,2.5647E-07,1.11127E-07
4300,0.007241739,0.010026044,0.004511459,0.015455217,0.023310178,0.007699331,3.99E-08,5.52E-08,3.00E-08,9.16E-08,1.25E-07,6.95E-08,0.022696956,0.037161401,0.008450624,1.31467E-07,2.01389E-07,8.6004E-08
4400,0.00583823,0.00821302,0.003506897,0.012362181,0.019139734,0.005661867,3.11E-08,4.33E-08,2.32E-08,7.21E-08,9.91E-08,5.45E-08,0.018200411,0.030625241,0.00594756,1.03122E-07,1.59064E-07,6.69498E-08
4500,0.004707234,0.006725754,0.00272091,0.009878151,0.015678451,0.004135877,2.41E-08,3.37E-08,1.80E-08,5.59E-08,7.72E-08,4.21E-08,0.014585385,0.025190334,0.004108418,7.99825E-08,1.2405E-07,5.16451E-08
4600,0.003794828,0.005422098,0.002193514,0.007888559,0.012520601,0.003302856,1.87E-08,2.63E-08,1.39E-08,4.43E-08,6.14E-08,3.32E-08,0.011683387,0.020178311,0.003290982,6.29828E-08,9.83531E-08,4.03559E-08
4700,0.003058439,0.004369936,0.001767861,0.006292669,0.009987629,0.002634674,1.46E-08,2.06E-08,1.08E-08,3.49E-08,4.87E-08,2.61E-08,0.009351109,0.016150246,0.002634024,4.95037E-08,7.77943E-08,3.15093E-08
