M0,M+,g,gv,ch,cq,cl,c3,cvvw,cvvhh,cvvv,total_widthV0GeV,BRWW,BRZh,BRuu,BRdd,BRll,BRnunu,BRbb,BRtt,total_widthV+GeV,BRWZ,BRWGam,BRWh,BRud,BRus,BRlnu,BRtb,CX+(pb),CX0(pb),CX-(pb)
600.,599.976,0.636194,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,13.3621,0.0296923,0.0253215,0.122415,0.121401,0.0411453,0.0401322,0.121379,0.0921426,13.3648,0.0310867,0.,0.0239656,0.231406,0.0124126,0.0812727,0.213493,88.2953,70.6327,45.8542
650.,649.981,0.637942,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,14.7593,0.0282028,0.0245285,0.122046,0.121202,0.040965,0.0401214,0.121183,0.0963315,14.7609,0.0293676,0.,0.0233936,0.230875,0.0123841,0.0810862,0.217463,67.4866,53.3783,34.2381
700.,699.985,0.639343,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,16.1408,0.0270422,0.0239075,0.121755,0.121041,0.0408245,0.0401103,0.121025,0.0996295,16.1418,0.0280302,0.,0.0229427,0.230448,0.0123612,0.0809364,0.220599,52.3396,40.9394,25.9542
750.,749.988,0.640483,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,17.5093,0.0261194,0.0234117,0.121522,0.120909,0.0407126,0.0400996,0.120895,0.102276,17.5099,0.0269684,0.,0.022581,0.230101,0.0123426,0.0808146,0.22312,41.1208,31.8164,19.9396
800.,799.99,0.641421,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,18.8668,0.0253731,0.0230096,0.121331,0.120799,0.040622,0.0400897,0.120787,0.104435,18.8671,0.0261107,0.,0.0222863,0.229815,0.0123272,0.0807141,0.225176,32.6839,25.0166,15.5092
850.,849.992,0.642204,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,20.2149,0.0247606,0.0226788,0.121174,0.120707,0.0405475,0.0400806,0.120696,0.106219,20.2151,0.0254076,0.,0.0220431,0.229577,0.0123145,0.0806304,0.226876,26.2473,19.8788,12.1867
900.,899.993,0.642862,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,21.5551,0.0242514,0.0224033,0.121042,0.120629,0.0404855,0.0400724,0.120619,0.107711,21.5551,0.0248239,0.,0.02184,0.229376,0.0123037,0.08056,0.228296,21.2746,15.9456,9.67162
950.,949.994,0.643421,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,22.8883,0.0238235,0.0221714,0.12093,0.120562,0.0404332,0.0400651,0.120553,0.108972,22.8883,0.0243337,0.,0.0216687,0.229206,0.0122946,0.0805001,0.229497,17.3988,12.9055,7.74298
1000.,999.995,0.6439,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,24.2156,0.0234603,0.0219743,0.120835,0.120505,0.0403887,0.0400585,0.120497,0.110047,24.2156,0.0239179,0.,0.0215228,0.22906,0.0122867,0.0804489,0.230519,14.335,10.5174,6.2482
1050.,1050.,0.644313,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,25.5378,0.0231493,0.0218054,0.120753,0.120455,0.0403506,0.0400527,0.120448,0.110971,25.5377,0.0235622,0.,0.0213976,0.228934,0.01228,0.0804047,0.231398,11.8747,8.63507,5.07798
1100.,1100.,0.644672,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,26.8554,0.0228809,0.0216595,0.120682,0.120412,0.0403177,0.0400474,0.120405,0.111771,26.8553,0.0232554,0.,0.0212892,0.228825,0.0122741,0.0803663,0.232159,9.90642,7.13283,4.15394
1150.,1150.,0.644986,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,28.169,0.0226476,0.0215326,0.12062,0.120374,0.040289,0.0400427,0.120368,0.112469,28.1689,0.0229889,0.,0.0211949,0.228729,0.012269,0.0803327,0.232822,8.31073,5.92638,3.42209
1200.,1200.,0.645262,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,29.479,0.0224436,0.0214215,0.120566,0.12034,0.0402639,0.0400384,0.120335,0.113081,29.479,0.0227559,0.,0.0211122,0.228645,0.0122645,0.0803032,0.233403,7.00882,4.95048,2.82898
1250.,1250.,0.645506,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,30.786,0.022264,0.0213237,0.120518,0.120311,0.0402417,0.0400346,0.120305,0.113621,30.7859,0.022551,0.,0.0210394,0.228571,0.0122605,0.0802771,0.233916,5.9381,4.15543,2.35234
1300.,1300.,0.645722,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,32.0902,0.0221053,0.0212372,0.120475,0.120284,0.0402221,0.0400311,0.120279,0.1141,32.0901,0.0223698,0.,0.0209748,0.228505,0.012257,0.080254,0.23437,5.05283,3.50368,1.96554
1350.,1350.,0.645915,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,33.3918,0.0219641,0.0211602,0.120437,0.12026,0.0402047,0.040028,0.120256,0.114526,33.3917,0.0222088,0.,0.0209174,0.228446,0.0122538,0.0802333,0.234774,4.32133,2.96665,1.64937
1400.,1400.,0.646088,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,34.6912,0.0218381,0.0210915,0.120403,0.120239,0.0401891,0.0400252,0.120235,0.114908,34.6912,0.0220651,0.,0.0208661,0.228394,0.012251,0.0802148,0.235135,3.70112,2.52099,1.38957
1450.,1450.,0.646244,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,35.9886,0.021725,0.0210298,0.120373,0.12022,0.0401751,0.0400226,0.120216,0.11525,35.9886,0.0219362,0.,0.02082,0.228346,0.0122484,0.0801982,0.23546,3.18394,2.15124,1.17548
1500.,1500.,0.646384,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,37.2842,0.0216233,0.0209743,0.120345,0.120203,0.0401625,0.0400202,0.120199,0.115559,37.2841,0.0218203,0.,0.0207785,0.228303,0.0122462,0.0801832,0.235752,2.74749,1.83951,0.997043
1550.,1550.,0.646511,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,38.5781,0.0215314,0.0209241,0.12032,0.120187,0.0401511,0.0400181,0.120184,0.115838,38.578,0.0217156,0.,0.020741,0.228265,0.0122441,0.0801696,0.236017,2.37776,1.5788,0.848845
1600.,1600.,0.646627,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,39.8705,0.0214481,0.0208786,0.120298,0.120173,0.0401408,0.0400161,0.12017,0.116091,39.8704,0.0216206,0.,0.020707,0.22823,0.0122422,0.0801573,0.236257,2.06304,1.35886,0.72465
1650.,1650.,0.646732,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,41.1615,0.0213723,0.0208372,0.120277,0.12016,0.0401314,0.0400143,0.120157,0.116322,41.1614,0.0215344,0.,0.020676,0.228198,0.0122405,0.0801461,0.236475,1.79446,1.17258,0.620351
1700.,1700.,0.646828,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,42.4513,0.0213032,0.0207994,0.120258,0.120148,0.0401228,0.0400127,0.120145,0.116533,42.4512,0.0214557,0.,0.0206477,0.228168,0.0122389,0.0801358,0.236675,1.56439,1.0145,0.532639
1750.,1750.,0.646916,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,43.7399,0.02124,0.0207649,0.120241,0.120137,0.040115,0.0400111,0.120135,0.116726,43.7398,0.0213837,0.,0.0206219,0.228142,0.0122375,0.0801264,0.236857,1.36666,0.87942,0.458355
