M0,M+,g,gv,ch,cq,cl,c3,cvvw,cvvhh,cvvv,total_widthV0GeV,BRWW,BRZh,BRuu,BRdd,BRll,BRnunu,BRbb,BRtt,total_widthV+GeV,BRWZ,BRWGam,BRWh,BRud,BRus,BRlnu,BRtb,CX+(pb),CX0(pb),CX-(pb)
800.,799.451,0.639063,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,32.2135,0.413867,0.567236,0.0026168,0.00213216,0.00105988,0.000575241,0.00213199,0.00236208,32.0323,0.428731,0.,0.552862,0.00444545,0.000238453,0.0015613,0.00435527,1.0768,0.855309,0.511085
900.,899.706,0.640991,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,33.0689,0.439352,0.534051,0.00355333,0.00315497,0.00133079,0.000932432,0.00315474,0.00323679,32.9689,0.451309,0.,0.522327,0.00634327,0.000340252,0.00222784,0.00631317,0.901251,0.687575,0.409766
1000.,999.813,0.642381,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,35.0172,0.450586,0.517614,0.0041742,0.00384388,0.00150963,0.00117932,0.00384365,0.00385314,34.9525,0.460359,0.,0.507973,0.00759921,0.00040762,0.00266894,0.0076475,0.687047,0.509804,0.299486
1100.,1099.87,0.643414,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,37.3432,0.45685,0.507523,0.00462632,0.0043489,0.00163984,0.00136241,0.00434868,0.00432121,37.2981,0.464974,0.,0.49948,0.00851302,0.000456637,0.00298989,0.00863699,0.512156,0.37177,0.214767
1200.,1199.91,0.644204,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,39.8605,0.460749,0.500699,0.00496957,0.00473368,0.00173872,0.00150284,0.00473348,0.00468746,39.8275,0.467605,0.,0.493896,0.00920651,0.000493835,0.00323345,0.00939805,0.381432,0.271104,0.153962
1300.,1299.93,0.644819,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,42.4924,0.463352,0.495803,0.00523735,0.00503455,0.00181591,0.00161311,0.00503436,0.00497972,42.4674,0.469214,0.,0.489978,0.00974748,0.000522853,0.00342344,0.00999762,0.285322,0.198844,0.110992
1400.,1399.95,0.645309,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,45.2001,0.46518,0.492143,0.00545063,0.00527453,0.00187741,0.00170132,0.00527436,0.00521656,45.1806,0.470248,0.,0.487101,0.0101783,0.000545964,0.00357477,0.0104788,0.214856,0.146961,0.0806679
1500.,1499.96,0.645705,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,47.9612,0.466514,0.489321,0.00562337,0.00546911,0.00192725,0.00177299,0.00546895,0.00541101,47.9457,0.470938,0.,0.484915,0.0105273,0.000564684,0.00369734,0.0108708,0.162942,0.109482,0.0591312
1600.,1599.96,0.646029,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,50.7617,0.467518,0.487091,0.00576529,0.00562908,0.00196821,0.00183201,0.00562894,0.00557251,50.7492,0.471413,0.,0.48321,0.0108141,0.000580064,0.00379804,0.0111944,0.124438,0.0822156,0.0437098
1700.,1699.97,0.646299,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,53.5925,0.468293,0.485295,0.00588331,0.0057622,0.00200229,0.00188118,0.00576207,0.00570801,53.5821,0.471749,0.,0.481851,0.0110525,0.000592855,0.00388179,0.0114646,0.0956578,0.0622015,0.0325698
